Caso;s1;s2;Tiempo (microsegundos);Respuesta
37;uofkm;omcbz;84;6
37;uofkm;omcbz;84;6
37;uofkm;omcbz;84;6
37;uofkm;omcbz;84;6
37;uofkm;omcbz;84;6
37;uofkm;omcbz;84;6
37;uofkm;omcbz;84;6
38;cajlx;murjf;80;8
38;cajlx;murjf;80;8
38;cajlx;murjf;80;8
38;cajlx;murjf;80;8
38;cajlx;murjf;80;8
38;cajlx;murjf;80;8
38;cajlx;murjf;80;8
38;cajlx;murjf;80;8
38;cajlx;murjf;80;8
38;cajlx;murjf;80;8
39;nyzkz;zpwva;99;8
39;nyzkz;zpwva;99;8
39;nyzkz;zpwva;98;8
39;nyzkz;zpwva;98;8
39;nyzkz;zpwva;98;8
39;nyzkz;zpwva;99;8
39;nyzkz;zpwva;99;8
39;nyzkz;zpwva;99;8
39;nyzkz;zpwva;98;8
39;nyzkz;zpwva;99;8
40;gyqcr;ofegt;110;8
40;gyqcr;ofegt;110;8
40;gyqcr;ofegt;110;8
40;gyqcr;ofegt;113;8
40;gyqcr;ofegt;111;8
40;gyqcr;ofegt;110;8
40;gyqcr;ofegt;140;8
40;gyqcr;ofegt;112;8
40;gyqcr;ofegt;110;8
40;gyqcr;ofegt;110;8
41;oknigl;eaifkw;414;10
41;oknigl;eaifkw;457;10
41;oknigl;eaifkw;423;10
41;oknigl;eaifkw;449;10
41;oknigl;eaifkw;425;10
41;oknigl;eaifkw;433;10
41;oknigl;eaifkw;445;10
41;oknigl;eaifkw;411;10
41;oknigl;eaifkw;412;10
41;oknigl;eaifkw;414;10
42;wzcayy;lsykiv;521;10
42;wzcayy;lsykiv;517;10
42;wzcayy;lsykiv;517;10
42;wzcayy;lsykiv;517;10
42;wzcayy;lsykiv;517;10
42;wzcayy;lsykiv;517;10
42;wzcayy;lsykiv;543;10
42;wzcayy;lsykiv;528;10
42;wzcayy;lsykiv;523;10
42;wzcayy;lsykiv;519;10
43;lutftp;ndehel;661;10
43;lutftp;ndehel;626;10
43;lutftp;ndehel;643;10
43;lutftp;ndehel;645;10
43;lutftp;ndehel;671;10
43;lutftp;ndehel;623;10
43;lutftp;ndehel;658;10
43;lutftp;ndehel;623;10
43;lutftp;ndehel;621;10
43;lutftp;ndehel;621;10
44;kpgskl;cpfcvx;426;10
44;kpgskl;cpfcvx;426;10
44;kpgskl;cpfcvx;426;10
44;kpgskl;cpfcvx;426;10
44;kpgskl;cpfcvx;486;10
44;kpgskl;cpfcvx;431;10
44;kpgskl;cpfcvx;438;10
44;kpgskl;cpfcvx;442;10
44;kpgskl;cpfcvx;444;10
44;kpgskl;cpfcvx;473;10
45;uwxlbm;qluohg;459;10
45;uwxlbm;qluohg;450;10
45;uwxlbm;qluohg;450;10
45;uwxlbm;qluohg;459;10
45;uwxlbm;qluohg;460;10
45;uwxlbm;qluohg;463;10
45;uwxlbm;qluohg;460;10
45;uwxlbm;qluohg;450;10
45;uwxlbm;qluohg;524;10
45;uwxlbm;qluohg;438;10
46;nhfdcz;shvcza;209;6
46;nhfdcz;shvcza;205;6
46;nhfdcz;shvcza;205;6
46;nhfdcz;shvcza;220;6
46;nhfdcz;shvcza;218;6
46;nhfdcz;shvcza;213;6
46;nhfdcz;shvcza;213;6
46;nhfdcz;shvcza;214;6
46;nhfdcz;shvcza;206;6
46;nhfdcz;shvcza;206;6
47;odfnhj;uiugex;648;12
47;odfnhj;uiugex;676;12
47;odfnhj;uiugex;690;12
47;odfnhj;uiugex;648;12
47;odfnhj;uiugex;642;12
47;odfnhj;uiugex;649;12
47;odfnhj;uiugex;622;12
47;odfnhj;uiugex;624;12
47;odfnhj;uiugex;622;12
47;odfnhj;uiugex;645;12
48;kznwyc;pywmmg;427;9
48;kznwyc;pywmmg;433;9
48;kznwyc;pywmmg;434;9
48;kznwyc;pywmmg;425;9
48;kznwyc;pywmmg;449;9
48;kznwyc;pywmmg;439;9
48;kznwyc;pywmmg;414;9
48;kznwyc;pywmmg;437;9
48;kznwyc;pywmmg;426;9
48;kznwyc;pywmmg;437;9
49;twlbri;ogauuu;636;12
49;twlbri;ogauuu;628;12
49;twlbri;ogauuu;635;12
49;twlbri;ogauuu;622;12
49;twlbri;ogauuu;636;12
49;twlbri;ogauuu;638;12
